,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
0,1,920068,N天工,20.17,411.93,16.23,504398.0,1076498291.9,92.89,23.6,19.94,22.01,3.94,,80.44,75.64,10.58,13041922303.0,1264744944.0,-0.1,0.05,411.93,411.93
1,2,833171,国航远洋,9.5,23.54,1.81,1109426.0,989775539.74,22.5,9.98,8.25,8.4,7.69,4.82,38.66,-85.49,3.92,5276370804.0,2725915266.0,0.0,-0.63,48.9,57.02
2,3,300840,酷特智能,24.41,20.01,4.07,403895.0,963583048.77,8.8,24.41,22.62,23.0,20.34,2.41,22.81,95.17,4.59,5858400000.0,4322648145.0,0.0,0.0,-5.02,21.93
3,4,301518,长华化学,26.46,20.0,4.41,182182.0,438233535.42,20.45,26.46,21.95,22.18,22.05,1.18,34.08,49.59,2.58,3709115278.0,1414425333.0,0.0,0.0,52.77,64.65
4,5,301317,鑫磊股份,38.16,20.0,6.36,256788.0,878913588.04,25.66,38.16,30.0,31.18,31.8,1.72,57.32,3.81,4.16,5998370400.0,1709568000.0,0.0,0.0,85.42,91.86
5,6,300946,恒而达,58.8,20.0,9.8,8400.0,49390177.2,0.0,58.8,58.8,58.8,49.0,0.11,1.49,88.12,5.88,7056352800.0,3322846800.0,0.0,0.0,113.04,116.49
6,7,873339,恒太照明,13.46,19.12,2.16,108955.0,141116377.61,21.5,14.0,11.57,11.85,11.3,7.57,7.22,44.39,4.89,2963943148.0,2031075437.0,0.3,-0.3,57.61,70.81
7,8,872351,华光源海,29.87,17.74,4.5,194266.0,560314068.8,21.44,32.23,26.79,27.81,25.37,2.33,55.09,61.71,5.73,2629618563.0,1053229313.0,-0.1,-2.07,135.57,190.0
8,9,300118,东方日升,11.17,16.96,1.62,1172932.0,1298235781.98,19.16,11.46,9.63,9.7,9.55,6.5,12.66,-11.93,1.14,12733954850.0,10352647314.0,0.0,-0.09,-4.28,-6.76
9,10,834765,美之高,26.69,15.64,3.61,96586.0,269250844.39,28.16,30.0,23.5,24.0,23.08,4.03,21.95,3203.81,5.6,1857972144.0,1174287804.0,-0.15,-0.41,4.87,-21.64
10,11,300630,普利退,0.89,15.58,0.12,291161.0,25206391.16,15.58,0.92,0.8,0.8,0.77,1.23,6.5,-3.81,0.16,499565322.0,398665007.0,1.14,1.14,-66.54,-86.93
11,12,300648,星云股份,35.88,14.78,4.62,187117.0,633447662.44,16.95,36.5,31.2,32.86,31.26,2.61,17.62,-388.66,4.49,6253216632.0,3810077071.0,-0.03,0.0,55.93,56.0
12,13,300676,华大基因,57.86,14.55,7.35,212341.0,1155689402.19,16.95,58.58,50.02,51.0,50.51,3.93,5.13,-114.14,2.64,24059436330.0,23928583047.0,0.0,0.0,12.77,37.86
13,14,838262,太湖雪,31.69,14.03,3.9,117205.0,361077098.8,20.94,34.3,28.48,28.5,27.79,1.87,37.58,67.74,6.81,2190228523.0,988265548.0,0.0,2.06,53.98,68.03
14,15,688303,大全能源,22.25,13.99,2.73,368425.0,819725259.0,16.7,23.41,20.15,20.15,19.52,6.1,6.67,-21.38,1.21,47730827359.0,12297702359.0,-0.22,-0.58,2.11,-7.83
15,16,300758,七彩化学,17.91,13.93,2.19,781039.0,1316453218.56,18.0,18.4,15.57,15.85,15.72,1.48,22.09,59.05,4.17,7272151254.0,6333818200.0,-0.06,-0.06,22.17,49.5
16,17,300209,有棵树,6.0,13.85,0.73,1014065.0,605028668.36,14.99,6.3,5.51,5.53,5.27,7.97,20.69,8056.57,6.04,5571816756.0,2940111240.0,0.0,0.33,25.52,10.91
